title,author,url
Moby Dick,Herman Melville,https://www.gutenberg.org/cache/epub/2701/pg2701.txt
Frankenstein,Mary Shelley,https://www.gutenberg.org/cache/epub/84/pg84.txt
Pride and Prejudice,Jane Austen,https://www.gutenberg.org/cache/epub/1342/pg1342.txt
Romeo and Juliet,William Shakespeare,https://www.gutenberg.org/cache/epub/1513/pg1513.txt
Middlemarch,George Eliot,https://www.gutenberg.org/cache/epub/145/pg145.txt
Little Women,Louisa May Alcott,https://www.gutenberg.org/cache/epub/37106/pg37106.txt
A Room with a View,E. M. Forster,https://www.gutenberg.org/cache/epub/2641/pg2641.txt
The Complete Works of William Shakespeare,William Shakespeare,https://www.gutenberg.org/cache/epub/100/pg100.txt
"The Rámáyan of Válmíki, translated into English verse",Válmíki,https://www.gutenberg.org/cache/epub/24869/pg24869.txt
Tom Jones,Henry Fielding,https://www.gutenberg.org/cache/epub/6593/pg6593.txt
The Tale of Samuel Whiskers,Beatrix Potter,https://www.gutenberg.org/cache/epub/15575/pg15575.txt
Alice’s Adventures in Wonderland,Lewis Carroll,https://www.gutenberg.org/cache/epub/11/pg11.txt
Metamorphosis,Franz Kafka,https://www.gutenberg.org/cache/epub/5200/pg5200.txt
The Picture of Dorian Grey,Oscar Wilde,https://www.gutenberg.org/cache/epub/174/pg174.txt
A Doll’s House,Henrik Ibsen,https://www.gutenberg.org/cache/epub/2542/pg2542.txt
The Great Gatsby,F. Scott Fitzgerald,https://www.gutenberg.org/cache/epub/64317/pg64317.txt
A Tale of Two Cities,Charles Dickens,https://www.gutenberg.org/cache/epub/98/pg98.txt
Crime and Punishment,Fyodor Dostoevsky,https://www.gutenberg.org/cache/epub/2554/pg2554.txt
A Modest Proposal,Jonathan Swift,https://www.gutenberg.org/cache/epub/1080/pg1080.txt
Dracula,Bram Stoker,https://www.gutenberg.org/cache/epub/345/pg345.txt
The Importance of Being Earnest,Oscar Wilde,https://www.gutenberg.org/cache/epub/844/pg844.txt
The Yellow Wallpaper,Charlotte Perkins Gilman,https://www.gutenberg.org/cache/epub/1952/pg1952.txt
The Adventures of Huckleberry Finn,Mark Twain,https://www.gutenberg.org/cache/epub/76/pg76.txt
The Adventures of Sherlock Holmes,Sir Arthur Conan Doyle,https://www.gutenberg.org/cache/epub/1661/pg1661.txt
The Brothers Karamazov,Fyodor Dostoevsky,https://www.gutenberg.org/cache/epub/28054/pg28054.txt
Great Expectations,Charles Dickens,https://www.gutenberg.org/cache/epub/1400/pg1400.txt
The Iliad,"Homer, tr by Alexander Pope",https://www.gutenberg.org/cache/epub/6130/pg6130.txt
Jane Eyre,Charlotte Brontë,https://www.gutenberg.org/cache/epub/1260/pg1260.txt
Thus Spake Zarathustra,"Friedrich Nietzsche, tr Thomas Common",https://www.gutenberg.org/cache/epub/1998/pg1998.txt
The Prophet,Khalil Gibran,https://www.gutenberg.org/cache/epub/58585/pg58585.txt
The Strange Case of Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,https://www.gutenberg.org/cache/epub/43/pg43.txt
A Christmas Carol,Charles Dickens,https://www.gutenberg.org/cache/epub/46/pg46.txt
The Prince,Niccolò Machiavelli,https://www.gutenberg.org/cache/epub/1232/pg1232.txt
The Count of Monte Cristo,Alexandre Dumas,https://www.gutenberg.org/cache/epub/1184/pg1184.txt
White Nights and Other Stories,Fyodor Dostoevsky,https://www.gutenberg.org/cache/epub/36034/pg36034.txt
The Odyssey,"Homer, tr by Samuel Butler",https://www.gutenberg.org/cache/epub/1727/pg1727.txt
The Leviathan,Thomas Hobbes,https://www.gutenberg.org/cache/epub/3207/pg3207.txt
War and Peace,Leo Tolstoy,https://www.gutenberg.org/cache/epub/2600/pg2600.txt
The Republic,Plato,https://www.gutenberg.org/cache/epub/1497/pg1497.txt
The Scarlet Letter,Nathaniel Hawthorne,https://www.gutenberg.org/cache/epub/25344/pg25344.txt
Dubliners,James Joyce,https://www.gutenberg.org/cache/epub/2814/pg2814.txt
The Romance of Lust,Anonymous,https://www.gutenberg.org/cache/epub/30254/pg30254.txt
Walden,Henry David Thoreau,https://www.gutenberg.org/cache/epub/205/pg205.txt
Heart of Darkness,Joseph Conrad,https://www.gutenberg.org/cache/epub/219/pg219.txt
